id,name,city,iata,region
8063,Fitzgerald Municipal Airport,Fitzgerald,\N,New York
8077,Aransas County Airport,Rockport,RKP,Chicago
8117,Crisp County Cordele Airport,Cordele,\N,New York
8118,Ormond Beach Municipal Airport,Ormond Beach,\N,New York
8121,Portland Troutdale Airport,Troutdale,TTD,Los Angeles
8122,Portland Hillsboro Airport,Hillsboro,HIO,Los Angeles
8123,One Police Plaza Heliport,New York,\N,New York
8133,Bend Municipal Airport,Bend,\N,Los Angeles
8134,Christmas Valley Airport,Christmas Valley,\N,Los Angeles
8135,Burns Municipal Airport,Burns,BNO,Los Angeles
8136,Prineville Airport,Prineville,PRZ,Los Angeles
8137,Red Bluff Municipal Airport,Red Bluff,RBL,Los Angeles
8138,Marin County Airport - Gnoss Field,Novato,NOT,Los Angeles
8139,Lake County Airport,Lakeview,LKV,Los Angeles
8140,Tillamook Airport,Tillamook,OTK,Los Angeles
8141,Ontario Municipal Airport,Ontario,ONO,Denver
8142,Columbia Gorge Regional the Dalles Municipal Airport,The Dalles,DLS,Los Angeles
8143,Montgomery County Airpark,Gaithersburg,GAI,New York
8162,Charlevoix Municipal Airport,Charelvoix,\N,New York
8182,Flagler Executive Airport,Flagler,\N,New York
8187,Morrisville Stowe State Airport,Morrisville,MVL,New York
8188,Dallas Executive Airport,Dallas,RBD,Chicago
8194,Westerly State Airport,Washington County,WST,New York
8195,Block Island State Airport,Block Island,BID,New York
8199,Nightmute Airport,Nightmute,NME,Anchorage
8200,Toksook Bay Airport,Toksook Bay,OOK,Anchorage
8215,Decatur County Industrial Air Park,Bainbridge,BGE,New York
8219,Silver Springs Airport,Silver Springs,\N,Los Angeles
8220,Whiteman Airport,Los Angeles,WHP,Los Angeles
8221,Madera Municipal Airport,Madera,MAE,Los Angeles
8252,Apalachicola Regional Airport,Apalachicola,AAF,New York
8273,Douglas Municipal Airport,Douglas,\N,New York
8274,St Lucie County International Airport,Fort Pierce,FPR,New York
8276,Taunton Municipal King Field,Taunton,\N,New York
8277,Plymouth Municipal Airport,Plymouth,PYM,New York
8278,Quonset State Airport,North Kingstown,NCO,New York
8280,Norwood Memorial Airport,Norwood,OWD,New York
8281,Westfield-Barnes Regional Airport,Westfield,BAF,New York
8282,Windham Airport,Willimantic,\N,New York
8283,Orange County Airport,Montgomery,MGJ,New York
8284,Capital City Airport,Harrisburg,HAR,New York
8285,Marshfield Municipal George Harlow Field,Marshfield,\N,New York
8286,Danbury Municipal Airport,Danbury,DXR,New York
8287,Boire Field,Nashua,ASH,New York
8288,Lawrence Municipal Airport,Lawrence,LWM,New York
8289,Waterbury Oxford Airport,Oxford,OXC,New York
8290,Fitchburg Municipal Airport,Fitchburg,\N,New York
8291,Earl L. Small Jr. Field/Stockmar Airport,Villa Rica,\N,New York
8292,Cartersville Airport,Cartersville,\N,New York
8293,Centre-Piedmont-Cherokee County Regional Airport,Centre,\N,Chicago
8294,Richard B Russell Airport,Rome,RMG,New York
8295,Northeast Alabama Regional Airport,Gadsden,GAD,Chicago
8296,Knoxville Downtown Island Airport,Knoxville,\N,New York
8297,Barrow County Airport,Winder,WDR,New York
8298,Plantation Airpark,Sylvania,\N,New York
8299,Dalton Municipal Airport,Dalton,DNN,New York
8300,West Georgia Regional O V Gray Field,Carrollton,\N,New York
8302,LaGrange Callaway Airport,LaGrange,LGC,New York
8303,Baldwin County Regional Airport,Milledgeville,\N,New York
8305,Harris County Airport,Pine Mountain,PIM,New York
8306,Peachtree City Falcon Field,Atlanta,\N,New York
8308,Lee Gilmer Memorial Airport,Gainesville,GVL,New York
8312,Harry Clever Field,New Philadelpha,PHD,New York
8313,Darlington County Airport,Darlington,\N,New York
8314,Hilton Head Airport,Hilton Head Island,HHH,New York
8318,Daniel Field,Augusta,DNL,New York
